U965_HCC1806	U965_MCF10A	U965_MCF7	U965_MDA231	U965_T47D	con_HCC1806	con_MCF10A	con_MCF7	con_MDA231	con_T47D	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	Normal_vs_Luminal_logFC	Normal_vs_Luminal_AveExpr	Normal_vs_Luminal_t	Normal_vs_Luminal_P.Value	Normal_vs_Luminal_adj.P.Val	Normal_vs_Luminal_B	Normal_vs_Luminal_-log(P.Value)	Normal_vs_Luminal_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	Normal_vs_Luminal_Valid	Normal_vs_Luminal_Significant
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Subtype}Basal	Normal	Luminal	Basal	Luminal	Basal	Normal	Luminal	Basal	Luminal																				
19.22047996520996	20.652145385742188	21.41484832763672	20.626537322998047	20.297683715820312	20.25138282775879	18.690628051757812	21.188875198364258	20.450159072875977	20.175283432006836	Homo sapiens	1:Experimental evidence at protein level	921	2	1.33888092971826	20.3006744799304	1.73363387457733	0.108678700333811	0.306419821065663	-4.80538180879017	0.963855563861334	0.513683145367689	sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2		+	
18.545047760009766	18.6555118560791	19.87957763671875	17.374265670776367	18.66105842590332	21.245290756225586	19.241491317749023	21.10226058959961	20.47569465637207	21.739206314086914	Homo sapiens	1:Experimental evidence at protein level	632	5	1.64498298962091	19.692432455649	1.52470479876663	0.153349928382789	0.376858142264394	-5.09203311812356	0.814316422504886	0.42382209707709	sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2		+	
18.481040954589844	18.422048568725586	18.50988006591797	16.387195587158203	17.386127471923828	21.48733901977539	21.390769958496094	20.189250946044922	18.44135093688965	20.148456573486328	Homo sapiens	1:Experimental evidence at protein level	1905	3	-0.594819266649694	19.0791847816608	-0.480583264439388	0.63949014967129	0.817560784010614	-6.07270023632729	0.194166140749598	0.0874799485404004	sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8		+	
21.137189865112305	19.874292373657227	20.909610748291016	21.416778564453125	21.762584686279297	19.98141098022461	20.98869514465332	20.15093994140625	20.828271865844727	18.13241195678711	Homo sapiens	1:Experimental evidence at protein level	387	1	0.0631926241351692	20.516460215632	0.0687172233714524	0.94635106751239	0.981000076849228	-6.18906024925614	0.0239477236408568	0.00833095859844676	sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10		+	
18.787771224975586	18.73652458190918	18.492778778076172	19.2544002532959	17.806732177734375	20.135278701782227	18.76535987854004	18.151948928833008	19.60462188720703	18.195383071899414	Homo sapiens	1:Experimental evidence at protein level	2005	5	-0.360048627605124	18.7906578718024	-0.753448444165594	0.465765395242379	0.695103220987695	-5.90361925333965	0.331832781180378	0.15795069904044	sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1		+	
19.48131561279297	18.749866485595703	18.88579559326172	19.656654357910156	19.00312042236328	20.491641998291016	19.258790969848633	20.048677444458008	20.746522903442383	17.056032180786133	Homo sapiens	1:Experimental evidence at protein level	1758	5	-0.0241224328747514	19.3327680347349	-0.0329211477871488	0.974280905740582	0.990769768043277	-6.19095017580939	0.0113158088047564	0.00402725377402364	sp|A6NKT7|RGPD3_HUMAN	A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3		+	
18.119354248046875	21.356019973754883	18.555021286010742	18.13545799255371	18.90747833251953	19.00818634033203	20.525562286376953	17.660444259643555	19.759092330932617	19.11583137512207	Homo sapiens	1:Experimental evidence at protein level	2078	7	-2.13575142558729	19.1130827954541	-3.17383872236157	0.00804958559221549	0.0553012928417838	-2.45315152756575	2.09422647735222	1.25726471557614	sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	sp|Q13765|NACA_HUMAN	+	
22.71291732788086	21.66114616394043	23.80719566345215	24.2633113861084	23.479106903076172	22.55855941772461	24.213306427001953	22.824033737182617	20.597122192382812	18.348600387573242	Homo sapiens	1:Experimental evidence at protein level	123	1	-0.54086745669624	22.4430244507644	-0.379259032427268	0.711148150257503	0.857542445607761	-6.11724114215574	0.148039915252029	0.0667443745656411	sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98		+	
