X078B	X078_102A	X102B	X255A	X255B	X344B	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	Normal_vs_Basal_logFC	Normal_vs_Basal_AveExpr	Normal_vs_Basal_t	Normal_vs_Basal_P.Value	Normal_vs_Basal_adj.P.Val	Normal_vs_Basal_B	Normal_vs_Basal_-log(P.Value)	Normal_vs_Basal_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	Normal_vs_Basal_Valid	Normal_vs_Basal_Significant
#!{Type}E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Experiments}T	N	T	N	T	T																				
#!{C:Subtype}Basal	Normal	Basal	Normal	Luminal	Luminal																				
20.177261352539062	19.50895118713379	20.24663543701172	18.470130920410156	18.33027458190918	18.946687698364258	Homo sapiens	1:Experimental evidence at protein level	115	3	0.358296795862284	19.2778097818046	0.448041510944751	0.663280895364711	0.815316408815378	-5.99147413588452	0.178302511607359	0.0886738171065319	sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	sp|P80748|LV321_HUMAN	+	
20.136816024780273	20.49161148071289	21.280961990356445	21.124000549316406	19.82761573791504	20.01428985595703	Homo sapiens	3:Protein inferred from homology	120	1	-1.01539882043829	20.4839491818124	-1.24669859312731	0.239762335894511	0.465450468290106	-5.34335246820672	0.620219038909782	0.332126528415891	sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	Immunoglobulin kappa variable 2-28	sp|A0A075B6S2|KVD29_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|NC_000022.11|NC_000022.11_16914279_16914530_-, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06310|KV230_HUMAN	+	
21.19091796875	20.539962768554688	20.207721710205078	21.685758590698242	18.1695613861084	20.62701416015625	Homo sapiens	3:Protein inferred from homology	115	2	-1.33104945391518	20.4131714980359	-1.32730019469443	0.212712281608635	0.435800772076227	-5.25087640764068	0.672207434023584	0.360712004681438	sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	sp|P04433|KV311_HUMAN	+	
22.130542755126953	21.530315399169922	20.967905044555664	21.20637321472168	20.995914459228516	20.64537239074707	Homo sapiens	1:Experimental evidence at protein level	295	0	-0.763565835827919	21.2512474339814	-0.92589602107998	0.3754139702421	0.5964899322022	-5.66687197123081	0.425489570057335	0.224396882129312	sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	Small ribosomal subunit protein uS2B	sp|P08865|RSSA_HUMAN	+	
20.509838104248047	19.52716636657715	18.147642135620117	22.918933868408203	20.743026733398438	21.740520477294922	Homo sapiens	1:Experimental evidence at protein level	387	1	-2.77834670979065	20.6114259933169	-2.31343233517023	0.0422367029420754	0.169974339330473	-3.87196462414306	1.37430999080449	0.769616638200257	sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10		+	
19.771270751953125	20.396032333374023	20.728538513183594	18.726289749145508	19.26218032836914	18.020475387573242	Homo sapiens	1:Experimental evidence at protein level	1004	4	-0.194832868734547	19.4864906465888	-0.211161868731127	0.83682731860773	0.926427142197536	-6.07178000340906	0.0773641505048479	0.0331887295946845	sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316		+	
22.03834342956543	20.213703155517578	22.049482345581055	19.021793365478516	16.3808536529541	22.255849838256836	Homo sapiens	1:Experimental evidence at protein level	334	3	1.51157354180473	20.3176209769748	0.982705317583287	0.34798476926563	0.575974790508629	-5.61518157090649	0.458439764009298	0.239596524532667	sp|A6NHQ2|FBLL1_HUMAN	A6NHQ2	FBLL1_HUMAN	FBLL1	RNA 2'-O-methyltransferase FBLL1		+	
