N_01	N_02	N_04	N_05	N_06	N_07	N_08	N_09	N_10	N_11	N_12	N_13	N_14	N_15	N_16	N_17	N_18	N_19	N_20	N_21	N_22	N_23	N_24	N_25	N_26	N_27	N_28	N_29	TP_01	TP_02	TP_03	TP_04	TP_05	TP_06	TP_07	TP_08	TP_09	TP_10	TP_11	TP_12	TP_13	TP_14	TP_15	TP_16	TP_17	TP_18	TP_19	TP_20	TP_21	TP_22	TP_23	TP_24	TP_25	TP_26	TP_27	TP_28	TP_29	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	N_vs_TP_logFC	N_vs_TP_AveExpr	N_vs_TP_t	N_vs_TP_P.Value	N_vs_TP_adj.P.Val	N_vs_TP_B	N_vs_TP_-log(P.Value)	N_vs_TP_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	N_vs_TP_Valid	N_vs_TP_Significant
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Experiments}N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP	TP																				
21.967758178710938	23.467571258544922	25.18890380859375	23.903675079345703	24.814014434814453	24.677824020385742	25.25054359436035	24.62591552734375	25.119613647460938	24.722082138061523	24.0009708404541	25.050962448120117	24.229887008666992	22.549306869506836	24.77012062072754	25.97763442993164	24.935718536376953	25.278154373168945	23.875560760498047	21.698863983154297	23.096176147460938	20.750680923461914	24.576608657836914	20.633081436157227	21.635799407958984	24.694107055664062	24.025863647460938	23.89661407470703	20.74698257446289	21.491750717163086	21.583213806152344	23.781068801879883	20.8908634185791	23.398496627807617	23.862070083618164	21.22536849975586	24.31449317932129	24.145112991333008	23.979293823242188	21.525169372558594	23.342885971069336	20.37286949157715	21.19208526611328	24.86349105834961	25.454740524291992	19.983299255371094	22.87501335144043	20.72445297241211	26.45872688293457	23.54953956604004	20.602252960205078	21.05616569519043	20.582622528076172	23.20215606689453	25.268522262573242	21.739185333251953	21.004863739013672	Homo sapiens	1:Experimental evidence at protein level	116	21	-1.40011342900668	23.2060755991254	-3.30557833329672	0.00160317660160755	0.00300830369758519	-2.25659250953121	2.79501863430267	2.52167832249275	sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7		+	+
23.758525848388672	24.247800827026367	24.161819458007812	24.44591522216797	22.511966705322266	23.638336181640625	25.172588348388672	23.779232025146484	23.350452423095703	23.62798500061035	22.699764251708984	23.974435806274414	22.798961639404297	23.472339630126953	23.420257568359375	25.05745506286621	23.18099021911621	24.03560447692871	23.99266242980957	24.28895378112793	24.211393356323242	23.8248291015625	24.432086944580078	20.87682342529297	23.00273323059082	23.4188289642334	22.90300178527832	22.87962532043457	20.998584747314453	23.391719818115234	23.15690803527832	22.643526077270508	24.16377830505371	21.316402435302734	21.652801513671875	23.923839569091797	21.852663040161133	21.255096435546875	22.632884979248047	20.308795928955078	23.2464599609375	21.20719337463379	22.382205963134766	23.620908737182617	23.451496124267578	22.18023681640625	22.67310333251953	21.67919921875	25.38772201538086	23.38177490234375	24.323606491088867	24.931020736694336	21.335878372192383	21.862173080444336	20.818803787231445	22.915315628051758	24.61055564880371	Homo sapiens	1:Experimental evidence at protein level	115	8	-0.959846677109731	23.1322750698759	-3.24415036475121	0.00192728725047018	0.00356710098248788	-2.42924691043794	2.71505355156305	2.44768459587149	sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	IGLV3-16	Immunoglobulin lambda variable 3-16		+	+
21.38719367980957	21.34813117980957	22.46263313293457	23.394582748413086	25.06013298034668	25.082820892333984	24.961833953857422	24.079729080200195	24.748741149902344	23.80768585205078	23.839677810668945	24.71251678466797	21.549285888671875	20.84947967529297	25.051279067993164	25.953060150146484	24.494783401489258	23.069021224975586	23.218942642211914	21.76731300354004	23.66705322265625	23.061145782470703	23.359394073486328	22.848508834838867	21.436809539794922	22.138431549072266	23.366548538208008	24.011150360107422	22.264984130859375	22.441829681396484	20.916561126708984	20.44007682800293	22.950132369995117	24.29959487915039	20.328954696655273	24.29355812072754	23.53758430480957	24.42665672302246	24.05048179626465	22.8060245513916	24.924541473388672	21.083890914916992	21.3277530670166	24.70606803894043	25.699270248413086	23.13616371154785	23.23841094970703	20.769550323486328	22.092370986938477	25.47830581665039	21.006698608398438	21.108348846435547	24.31993293762207	20.905553817749023	24.033599853515625	20.98941993713379	21.29544448852539	Homo sapiens	3:Protein inferred from homology	115	20	-0.678025299315607	23.0481655742407	-1.68760899735119	0.0966789380914345	0.127410836886393	-5.92785520481816	1.01466812847087	0.894793631656828	sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	sp|P04433|KV311_HUMAN	+	
24.87765884399414	23.64238739013672	24.051551818847656	24.257314682006836	22.893001556396484	22.954936981201172	25.408157348632812	24.422149658203125	24.76122283935547	23.7664794921875	21.246000289916992	23.91609764099121	21.129819869995117	24.840009689331055	20.890037536621094	25.170635223388672	24.508703231811523	25.175214767456055	24.822566986083984	24.12851333618164	24.639415740966797	21.133481979370117	25.677793502807617	24.60334587097168	24.055248260498047	25.91375160217285	23.975780487060547	22.883668899536133	21.166736602783203	24.211332321166992	21.690279006958008	22.484901428222656	21.94806480407715	22.038131713867188	22.848499298095703	23.47464942932129	21.400575637817383	23.24570655822754	20.401647567749023	20.962244033813477	24.005413055419922	20.72409439086914	22.303237915039062	20.987340927124023	23.042879104614258	21.88018035888672	20.553424835205078	20.870054244995117	26.698617935180664	19.906644821166992	23.852663040161133	25.214279174804688	20.985727310180664	23.362689971923828	26.351383209228516	21.32025909423828	24.009016036987305	Homo sapiens	1:Experimental evidence at protein level	117	16	-1.45237146301314	23.1885911610349	-3.55330975599236	0.000748371867938208	0.00149674373587642	-1.53812745903066	3.12588254643771	2.82485255077373	sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28		+	+
21.332176208496094	20.8432559967041	21.270553588867188	21.93539047241211	20.93470001220703	21.324283599853516	21.466426849365234	21.992937088012695	20.858413696289062	21.285785675048828	20.750045776367188	21.56969451904297	22.061227798461914	21.11929702758789	21.113706588745117	21.724050521850586	21.706478118896484	22.39020538330078	21.55632209777832	21.336719512939453	22.86202621459961	21.497386932373047	21.02313804626465	21.664669036865234	22.775583267211914	22.570566177368164	21.22170639038086	21.782180786132812	22.77180290222168	21.748233795166016	23.017526626586914	22.601993560791016	21.920063018798828	22.657901763916016	23.4276123046875	20.987396240234375	21.79050064086914	22.80330467224121	22.804304122924805	23.096101760864258	22.627599716186523	22.399457931518555	23.322450637817383	22.51390838623047	22.552404403686523	21.935476303100586	21.330642700195312	21.169570922851562	22.099872589111328	21.076690673828125	22.85199546813965	22.4881591796875	21.93059539794922	22.42523956298828	20.679330825805664	22.668912887573242	22.76453399658203	Homo sapiens	1:Experimental evidence at protein level	1052	26	0.713471953230588	21.9374598183597	4.07925404855634	0.000135243844050461	0.000310286006792855	0.0942830953136813	3.86888249373163	3.50823780968711	sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6		+	+
22.961103439331055	23.2404727935791	23.185518264770508	21.589590072631836	23.531583786010742	23.4409122467041	20.80740737915039	23.197662353515625	21.91800880432129	20.735889434814453	21.6613826751709	23.040264129638672	23.331357955932617	23.316444396972656	23.122482299804688	23.226871490478516	21.228004455566406	23.382766723632812	23.31434440612793	23.4040470123291	23.313995361328125	23.096542358398438	21.571989059448242	21.811243057250977	23.73936653137207	23.549274444580078	21.161968231201172	23.425809860229492	23.561372756958008	24.86750602722168	21.857995986938477	23.404483795166016	23.879581451416016	25.395008087158203	23.174190521240234	20.789966583251953	23.96721649169922	23.796173095703125	24.16366958618164	23.117990493774414	23.851776123046875	24.002595901489258	24.64473533630371	23.079923629760742	23.206499099731445	24.983154296875	24.70892906188965	20.912761688232422	24.297340393066406	24.39171600341797	23.727880477905273	23.993688583374023	24.176013946533203	25.08745002746582	24.227375030517578	25.480913162231445	24.15395164489746	Homo sapiens	1:Experimental evidence at protein level	334	12	1.1308256489402	23.264585586672	4.35229883833726	5.32444903560461E-05	0.000131029039116415	0.992108424922866	4.27372532557493	3.88263244380676	sp|A6NHQ2|FBLL1_HUMAN	A6NHQ2	FBLL1_HUMAN	FBLL1	RNA 2'-O-methyltransferase FBLL1		+	+
25.348501205444336	25.835962295532227	24.820331573486328	25.252466201782227	24.744478225708008	24.355669021606445	25.58664321899414	25.786518096923828	26.22691535949707	25.311664581298828	25.567462921142578	25.695417404174805	25.50531578063965	24.548948287963867	25.92669677734375	25.388347625732422	25.173986434936523	24.257244110107422	24.466386795043945	25.32769203186035	25.219097137451172	24.811540603637695	25.157161712646484	25.021160125732422	24.597949981689453	24.453054428100586	25.307355880737305	24.691003799438477	21.4881649017334	21.02187728881836	22.013032913208008	22.671049118041992	21.339702606201172	20.097925186157227	21.050636291503906	20.76456069946289	21.38553810119629	23.717327117919922	20.421733856201172	21.34413719177246	21.692140579223633	21.05408477783203	21.632034301757812	23.76020050048828	23.852882385253906	20.728694915771484	22.001432418823242	21.533340454101562	23.796342849731445	20.069828033447266	21.218034744262695	20.372100830078125	20.372926712036133	21.177291870117188	20.9696044921875	21.01380157470703	20.800439834594727	Homo sapiens	1:Experimental evidence at protein level	2263	24	-3.67368309599634	23.2951684877785	-15.7635449820049	5.29848758089325E-23	1.52944607873981E-20	42.0806604600368	22.2758480792687	19.8154658296427	sp|A6NMZ7|CO6A6_HUMAN	A6NMZ7	CO6A6_HUMAN	COL6A6	Collagen alpha-6(VI) chain		+	+
24.188072204589844	21.82917594909668	23.971054077148438	23.793121337890625	24.530426025390625	24.396278381347656	24.350309371948242	24.848865509033203	24.779794692993164	23.99591636657715	23.735029220581055	24.843795776367188	24.37411117553711	24.055007934570312	24.28582000732422	24.588510513305664	24.571298599243164	23.731313705444336	24.2367000579834	24.327205657958984	23.903865814208984	24.23711585998535	24.22054672241211	23.584123611450195	23.846981048583984	24.138269424438477	23.971118927001953	24.494428634643555	24.583972930908203	23.393226623535156	21.878585815429688	24.25920867919922	24.141530990600586	23.112110137939453	25.137828826904297	24.921802520751953	24.14165687561035	20.15992546081543	24.00473403930664	23.84169578552246	24.347768783569336	21.12877082824707	24.230201721191406	24.06675148010254	24.65648651123047	21.851224899291992	23.544893264770508	21.67251968383789	24.506736755371094	23.43865966796875	22.613855361938477	23.580793380737305	20.990480422973633	23.8438777923584	24.239999771118164	23.8836669921875	23.348520278930664	Homo sapiens	1:Experimental evidence at protein level	354	7	-0.717091358390398	23.7784940063536	-2.77750392734314	0.00729956062899593	0.0120541947781545	-3.66341984813487	2.13670327989944	1.91886179524788	sp|A8MTJ3|GNAT3_HUMAN	A8MTJ3	GNAT3_HUMAN	GNAT3	Guanine nucleotide-binding protein G(t) subunit alpha-3		+	+
